"hhid","zone","state","lga","sector","ea","ric","wt_wave3","wt_w1_w2_w3","saq7","qno","qno1","ag1","ag2","ag3","saq11","saq12","saq13","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq15a","saq15b","saq16","saq16d","saq16m","saq16y","saq17ah","saq17am","saq17bh","saq17bm","saq18a","saq18b","saq19","saq19d","saq19m","saq19y","saq20ah","saq20am","saq20bh","saq20bm","saq21a","saq21b","saq22","saq22a","saq22a_os","saq22b","tracked_obs","phonly_hh"
10032,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,17,1,1,2,2,2,2,1,"08032016",8,3,2016,13,15,15,40,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10033,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,31,1,2,1,2,1,5,1,"08032016",8,3,2016,11,0,13,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10034,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,10,1,1,2,2,2,5,1,"09032016",9,3,2016,11,0,14,5,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10035,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,3,1,1,2,2,2,4,1,"08032016",8,3,2016,11,20,14,43,15,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
10036,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,20,1,1,2,2,2,4,1,"09032016",9,3,2016,11,30,14,48,15,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
10037,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,27,1,1,2,2,2,2,1,"08032016",8,3,2016,10,5,13,10,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10038,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,15,1,1,2,2,2,3,1,"09032016",9,3,2016,10,20,13,54,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10039,4,4,410,2,0,0,8385.72009133152,8385.72009133152,0,1,1,2,2,2,3,1,"16032016",16,3,2016,12,20,15,5,9,,"17032016",17,3,2016,11,45,14,0,7,,,,,,,,,,,,1,1,,1,0,0
10040,4,1,111,1,1146,1407,8385.72009133152,8385.72009133152,1,1,1,2,2,2,3,1,"08032016",8,3,2016,10,49,13,38,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10041,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,39,1,1,2,2,2,4,1,"10032016",10,3,2016,10,30,13,56,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10042,6,24,2418,1,0,0,9065.64334198002,9065.64334198002,0,1,1,2,2,2,6,1,"07032016",7,3,2016,9,25,12,50,1,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10043,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,2,1,1,2,2,2,4,1,"10032016",10,3,2016,16,20,16,56,3,,"11032016",11,3,2016,12,24,15,43,16,,,,,,,,,,,,2,1,,1,0,0
10044,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,35,1,1,2,2,2,3,1,"11032016",11,3,2016,10,48,14,15,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10045,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,6,1,1,2,2,2,5,1,"11032016",11,3,2016,14,10,17,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10046,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,14,1,1,2,2,2,3,1,"10032016",10,3,2016,11,2,15,17,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10047,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,47,1,1,2,2,2,5,1,"10032016",10,3,2016,13,10,15,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10048,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,55,1,1,2,2,2,5,1,"11032016",11,3,2016,10,50,13,1,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10049,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,30,1,1,2,2,2,2,1,"11032016",11,3,2016,11,40,14,15,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10050,4,1,102,1,536,1001,9065.64334198002,9065.64334198002,18,1,1,2,2,2,2,1,"10032016",10,3,2016,10,16,13,0,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10051,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,8,1,1,2,2,2,4,1,"12032016",12,3,2016,9,24,12,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10052,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,3,1,1,2,2,2,4,1,"13032016",13,3,2016,9,12,12,53,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10053,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,18,1,1,2,2,2,2,1,"12032016",12,3,2016,11,20,14,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10054,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,4,1,1,2,2,2,2,1,"13032016",13,3,2016,12,10,15,25,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
10055,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,15,1,1,2,2,2,3,1,"12032016",12,3,2016,10,10,13,20,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10056,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,6,1,1,2,2,2,3,1,"12032016",12,3,2016,13,30,16,20,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10057,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,10,1,2,1,2,1,3,1,"13032016",13,3,2016,11,20,15,10,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10058,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,1,1,1,2,2,2,5,1,"12032016",12,3,2016,10,30,14,45,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10059,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,13,1,1,2,2,2,5,1,"13032016",13,3,2016,10,15,14,25,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10060,4,1,102,1,1690,1501,5439.38600518801,5439.38600518801,11,1,1,2,2,2,2,1,"13032016",13,3,2016,9,15,12,5,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10061,4,1,107,2,1044,1504,4759.46275453951,4759.46275453951,10,1,2,1,2,1,3,1,"06032016",6,3,2016,13,44,15,49,9,,"07032016",7,3,2016,14,30,16,0,16,,,,,,,,,,,,2,1,,1,0,0
10062,4,1,107,2,1044,1504,4759.46275453951,4759.46275453951,2,1,2,1,2,1,3,1,"07032016",7,3,2016,10,18,13,44,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10063,4,1,107,2,1044,1504,4759.46275453951,4759.46275453951,12,1,2,1,2,1,5,1,"06032016",6,3,2016,10,30,13,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10064,4,1,107,2,1044,1504,4759.46275453951,4759.46275453951,2,1,2,1,2,1,4,1,"07032016",7,3,2016,11,30,14,53,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
10065,4,1,102,1,0,0,4759.46275453951,4759.46275453951,0,1,2,1,2,1,5,1,"17032016",17,3,2016,10,0,12,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10066,4,1,107,2,1044,1504,4759.46275453951,4759.46275453951,8,1,2,1,2,1,2,1,"06032016",6,3,2016,10,12,13,15,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10067,4,1,107,2,1044,1504,4759.46275453951,4759.46275453951,5,1,2,1,2,1,2,1,"07032016",7,3,2016,11,5,14,8,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10068,4,1,107,2,1044,1504,4759.46275453951,4759.46275453951,4,1,2,1,2,1,2,1,"06032016",6,3,2016,13,30,16,20,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10069,4,1,107,2,1044,1504,4759.46275453951,4759.46275453951,1,1,2,1,2,1,4,1,"06032016",6,3,2016,10,13,13,42,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
10070,4,1,107,2,0,0,4759.46275453951,4759.46275453951,0,1,2,1,2,1,3,1,"06032016",6,3,2016,9,28,13,10,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10071,4,1,117,2,560,1010,5892.66817228701,5892.66817228701,3,1,2,1,2,1,5,1,"03032016",3,3,2016,12,10,15,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10072,4,1,117,2,560,1010,5892.66817228701,5892.66817228701,16,1,2,1,2,1,2,1,"02032016",2,3,2016,10,15,13,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10073,4,1,117,2,560,1010,5892.66817228701,5892.66817228701,6,1,2,1,2,1,4,1,"03032016",3,3,2016,12,6,15,20,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
10074,4,1,117,2,560,1010,5892.66817228701,5892.66817228701,1,1,2,1,2,1,4,1,"02032016",2,3,2016,12,14,14,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10075,4,1,117,2,560,1010,5892.66817228701,5892.66817228701,15,1,2,1,2,1,5,1,"02032016",2,3,2016,10,30,14,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10076,4,1,117,2,560,1010,5892.66817228701,5892.66817228701,9,1,2,1,2,1,3,1,"02032016",2,3,2016,9,36,12,51,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10077,4,1,117,2,560,1010,5892.66817228701,5892.66817228701,7,1,2,1,2,1,3,1,"02032016",2,3,2016,13,17,16,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10078,4,1,117,2,560,1010,5892.66817228701,5892.66817228701,2,1,2,1,2,1,4,1,"02032016",2,3,2016,11,40,16,50,16,,"03032016",3,3,2016,10,22,11,53,16,,,,,,,,,,,,2,1,,1,0,0
10079,4,1,117,2,560,1010,5892.66817228701,5892.66817228701,8,1,2,1,1,1,2,1,"03032016",3,3,2016,11,20,13,45,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
10080,4,1,117,2,560,1010,5892.66817228701,5892.66817228701,10,1,2,1,2,1,5,1,"02032016",2,3,2016,13,50,15,30,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
10081,4,1,110,2,76,1106,8310.17306348168,8310.17306348168,19,1,2,1,2,1,3,1,"05032016",5,3,2016,11,20,15,2,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10082,4,1,110,2,76,1106,8310.17306348168,8310.17306348168,1,1,2,1,2,1,3,1,"04032016",4,3,2016,11,7,14,38,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10083,4,1,110,1,0,0,8310.17306348168,8310.17306348168,0,1,1,2,2,2,4,1,"17032016",17,3,2016,12,10,15,30,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
10084,4,1,110,2,76,1106,8310.17306348168,8310.17306348168,25,1,1,2,2,2,4,1,"04032016",4,3,2016,13,15,16,48,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10085,4,1,110,2,76,1106,8310.17306348168,8310.17306348168,7,1,2,1,1,1,4,1,"04032016",4,3,2016,9,42,12,52,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
10086,4,1,110,2,76,1106,8310.17306348168,8310.17306348168,16,1,2,1,2,1,2,1,"05032016",5,3,2016,11,12,13,30,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10087,4,1,110,2,76,1106,8310.17306348168,8310.17306348168,40,1,2,1,2,1,2,1,"04032016",4,3,2016,10,30,13,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10088,4,1,110,2,76,1106,8310.17306348168,8310.17306348168,10,1,2,1,2,1,5,1,"04032016",4,3,2016,14,6,17,0,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10089,4,1,110,2,76,1106,8310.17306348168,8310.17306348168,13,1,2,1,2,1,5,1,"04032016",4,3,2016,11,30,13,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10091,4,1,105,2,638,1507,5036.46852332223,5666.02708873751,18,1,2,1,2,1,4,1,"18032016",18,3,2016,10,20,13,44,2,,,,,,,,,,,,,,,,,,,,,,1,1,,,0,0
10092,4,1,105,2,638,1507,5036.46852332223,5666.02708873751,11,1,2,1,2,1,2,1,"25022016",25,2,2016,10,10,13,14,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10093,5,3,322,2,0,0,5036.46852332223,,0,1,2,1,2,1,5,1,"23032016",23,3,2016,14,32,16,28,5,,"25032016",25,3,2016,13,14,15,28,16,,,,,,,,,,,,2,1,,1,0,0
10094,4,1,105,2,638,1507,5036.46852332223,5666.02708873751,7,1,2,1,2,1,2,1,"24022016",24,2,2016,12,30,15,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10096,4,1,105,2,638,1507,5036.46852332223,5666.02708873751,5,1,2,1,2,1,3,1,"24022016",24,2,2016,13,46,17,28,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10097,4,1,105,2,638,1507,5036.46852332223,5666.02708873751,14,1,2,1,2,1,3,1,"24022016",24,2,2016,10,5,13,31,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10098,4,1,105,2,638,1507,5036.46852332223,5666.02708873751,10,1,1,2,2,2,5,1,"24022016",24,2,2016,10,30,12,50,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10099,4,1,105,2,638,1507,5036.46852332223,5666.02708873751,4,1,2,1,2,1,5,1,"25022016",25,2,2016,10,30,15,0,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10100,4,1,105,2,638,1507,5036.46852332223,5666.02708873751,17,1,2,1,2,1,4,1,"24022016",24,2,2016,10,24,13,55,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10102,4,1,108,2,904,1205,8310.17306348168,8310.17306348168,12,1,2,1,2,1,2,1,"29022016",29,2,2016,10,37,13,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10103,4,1,108,2,904,1205,8310.17306348168,8310.17306348168,23,1,2,1,1,1,2,1,"01032016",1,3,2016,11,5,14,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10104,4,1,108,2,904,1205,8310.17306348168,8310.17306348168,1,1,2,1,2,1,4,1,"29022016",29,2,2016,11,16,14,53,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
10105,4,1,108,2,904,1205,8310.17306348168,8310.17306348168,7,1,2,1,2,1,5,1,"29022016",29,2,2016,11,10,13,5,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10106,4,1,108,2,904,1205,8310.17306348168,8310.17306348168,21,1,2,1,2,1,5,1,"01032016",1,3,2016,12,50,15,45,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10107,4,1,108,2,904,1205,8310.17306348168,8310.17306348168,3,1,2,1,2,1,4,1,"29022016",29,2,2016,16,22,18,6,12,,"01032016",1,3,2016,12,30,13,56,16,,,,,,,,,,,,1,1,,1,0,0
10108,4,1,108,2,904,1205,8310.17306348168,8310.17306348168,18,1,2,1,2,1,3,1,"29022016",29,2,2016,13,2,15,44,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10109,4,1,108,2,904,1205,8310.17306348168,8310.17306348168,32,1,2,1,2,1,3,1,"01032016",1,3,2016,10,27,14,54,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
10110,4,1,108,2,904,1205,8310.17306348168,8310.17306348168,14,1,2,1,2,1,3,1,"29022016",29,2,2016,10,13,12,28,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
20001,2,2,209,2,1040,1305,4230.03318730086,5003.26506024833,4,1,2,1,2,1,4,1,"02032016",2,3,2016,15,18,18,20,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
20002,2,2,209,2,1040,1305,4230.03318730086,5003.26506024833,9,1,2,1,2,1,4,1,"02032016",2,3,2016,9,2,14,10,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
20003,2,34,3401,2,0,0,4230.03318730086,,0,1,2,1,2,1,3,1,"17032016",17,3,2016,8,15,12,47,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
20004,2,2,209,2,0,0,4230.03318730086,5003.26506024833,0,1,2,1,2,1,3,1,"02032016",2,3,2016,7,15,9,5,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
20005,2,2,209,2,1040,1305,4230.03318730086,5003.26506024833,1,1,2,1,2,1,5,1,"02032016",2,3,2016,8,17,11,12,1,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
20006,2,2,209,2,1040,1305,4230.03318730086,5003.26506024833,14,1,3,1,2,1,3,1,"02032016",2,3,2016,8,16,11,49,1,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
20007,2,2,209,2,1040,1305,4230.03318730086,5003.26506024833,22,1,2,1,2,1,3,1,"02032016",2,3,2016,12,42,13,52,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
20008,2,2,209,2,1040,1305,4230.03318730086,5003.26506024833,6,1,2,1,2,1,3,1,"02032016",2,3,2016,7,35,10,9,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
20009,2,2,209,2,1040,1305,4230.03318730086,5003.26506024833,20,1,2,1,2,1,2,1,"02032016",2,3,2016,16,49,19,51,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
20010,2,2,209,2,1040,1305,4230.03318730086,5003.26506024833,36,1,2,1,2,1,5,1,"02032016",2,3,2016,11,41,14,53,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
20011,2,34,3416,2,0,0,11020.349619547,11731.3399175823,0,1,2,1,2,1,4,1,"17032016",17,3,2016,8,40,14,59,16,,,,,,,,,,,,,,,,,,,,,,1,1,,1,0,0
20012,2,2,221,2,18,1210,11020.349619547,11731.3399175823,18,1,3,1,2,1,3,1,"22022016",22,2,2016,7,52,11,0,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
20013,2,2,221,2,18,1210,11020.349619547,11731.3399175823,103,1,2,1,2,1,4,1,"25022016",25,2,2016,9,10,14,22,1,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
20014,2,2,221,2,18,1210,11020.349619547,11731.3399175823,60,1,3,1,2,1,5,1,"23022016",23,2,2016,7,42,11,1,1,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
20015,2,2,221,2,18,1210,11020.349619547,11731.3399175823,83,1,2,1,2,1,5,1,"23022016",23,2,2016,12,58,16,27,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
20016,2,2,221,2,18,1210,11020.349619547,11731.3399175823,92,1,2,1,2,1,3,1,"22022016",22,2,2016,12,5,13,25,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
20017,2,2,221,2,18,1210,11020.349619547,11731.3399175823,28,1,2,1,2,1,2,1,"24022016",24,2,2016,3,12,11,31,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
20018,2,2,221,2,18,1210,11020.349619547,11731.3399175823,39,1,2,1,2,1,4,1,"24022016",24,2,2016,8,2,11,40,16,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
20019,2,2,221,2,18,1210,11020.349619547,11731.3399175823,50,1,2,1,2,1,5,1,"22022016",22,2,2016,10,41,13,53,1,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
20020,2,2,221,2,18,1210,11020.349619547,11731.3399175823,71,1,3,1,1,1,2,1,"24022016",24,2,2016,14,18,17,42,1,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
20021,2,2,201,2,60,1501,3562.13321035862,3791.94825618821,1,1,2,1,2,1,4,1,"27022016",27,2,2016,14,22,16,37,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
20022,2,2,201,2,60,1501,3562.13321035862,3791.94825618821,5,1,2,1,2,1,2,1,"27022016",27,2,2016,8,41,11,47,15,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
20023,2,2,201,2,60,1501,3562.13321035862,3791.94825618821,13,1,2,1,2,1,3,1,"27022016",27,2,2016,7,3,9,17,1,,,,,,,,,,,,,,,,,,,,,,2,1,,1,0,0
