"zone","state","lga","sector","ea","hhid","indiv","s1q2","s1q3","s1q3b","s1q4","s1q4a","s1q5","s1q6_day","s1q6_month","s1q6_year","s1q7","s1q8","s1q9","s1q11","s1q12","s1q12a","s1q12a_os","s1q12b","s1q12c","s1q13","s1q15","s1q16","s1q16b","s1q17","s1q18","s1q19","s1q20","s1q21","s1q22","s1q22b","s1q23","s1q24","s1q25","s1q26","s1q27","s1q27b","s1q28","s1q28b","s1q29","s1q30","s1q31a","s1q31b","s1q31c","s1q31d","s1q32","s1q33","s1q34","s1q34b","s1q35","s1q36","s1q36b","s1q37","s1q38","s1q39","s1q39b","s1q40","s1q41"
4,1,115,1,670,10005,5,2,3,,9,1,2,,,,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10005,6,2,9,,25,1,2,,,,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10005,7,1,3,,3,1,1,18,11,2012,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10008,1,1,1,,62,1,2,,,,1,2,,1,2,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10008,2,2,2,,49,1,2,,,,1,2,,1,1,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10008,3,2,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,"ABEOKUTA NORTH",2701,"OGUN",27,,,,,,,,,,,,,
4,1,115,1,670,10008,4,2,3,,20,1,2,,,,7,,,,,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10008,5,2,3,,18,1,2,,,,7,,,,,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10008,6,1,3,,15,1,2,,,,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10008,7,2,3,,15,1,2,,,,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10008,8,1,3,,4,1,1,3,8,2011,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,1,1,1,,41,1,2,,,,1,2,,1,2,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,2,2,2,,31,1,2,,,,1,2,,1,1,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,3,2,3,,5,1,1,27,4,2010,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,4,2,9,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,1,"ONITCHA NORTH",417,"ANAMBRA",4,,,,,,,,,,,,,
4,1,105,2,0,10009,5,2,3,,4,1,1,21,6,2011,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,6,2,12,,12,1,2,,,,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,7,1,3,,1,1,1,3,7,2014,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10010,1,1,1,,65,1,2,,,,1,2,,1,2,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10010,2,2,2,,59,1,2,,,,1,2,,1,1,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10010,3,1,3,,23,1,2,,,,7,,,,,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10010,4,2,12,,22,1,2,,,,7,,,,,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,1,2,1,,51,1,2,,,,6,,,,,2,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,2,2,3,,28,1,2,,,,7,,,,,2,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,3,1,3,,26,1,2,,,,7,,,,,2,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,4,1,3,,23,1,2,,,,7,,,,,2,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,5,1,3,,26,1,2,,,,7,,,,,2,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10011,6,2,3,,24,1,2,,,,7,,,,,2,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10012,1,1,14,"FORMER HEAD (DEAD)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10012,2,2,1,,61,1,2,,,,6,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10012,3,1,3,,32,1,2,,,,7,,,,,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10012,4,1,3,,44,1,2,,,,1,2,,1,5,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
