"zone","state","lga","sector","ea","hhid","indiv","s1q2","s1q3","s1q3b","s1q4","s1q4a","s1q5","s1q6_day","s1q6_month","s1q6_year","s1q7","s1q8","s1q9","s1q11","s1q12","s1q12a","s1q12a_os","s1q12b","s1q12c","s1q13","s1q15","s1q16","s1q16b","s1q17","s1q18","s1q19","s1q20","s1q21","s1q22","s1q22b","s1q23","s1q24","s1q25","s1q26","s1q27","s1q27b","s1q28","s1q28b","s1q29","s1q30","s1q31a","s1q31b","s1q31c","s1q31d","s1q32","s1q33","s1q34","s1q34b","s1q35","s1q36","s1q36b","s1q37","s1q38","s1q39","s1q39b","s1q40","s1q41"
5,12,1208,2,526,120049,7,1,3,,4,1,1,17,3,2012,7,,,,,11,"AFEMAI",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1208,2,526,120049,8,2,10,,76,1,1,27,2,1946,6,,,,,11,"AFEMAI",2,,2,1,12,"OLD AGE",1,2,,2,0,1,,2,,2,0,1,,,,,,,,,,,,,,,,,,,,,,
5,12,1208,2,526,120050,1,1,1,,41,1,2,,,,1,2,,1,2,10,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1208,2,526,120050,2,2,2,,34,1,2,,,,1,2,,1,1,10,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1208,2,526,120050,3,2,3,,7,1,2,,,,7,,,,,10,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1208,2,526,120050,4,1,3,,4,1,1,5,3,2011,7,,,,,10,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120051,1,1,1,,45,1,2,,,,2,1,2,1,2,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120051,2,2,2,,38,1,2,,,,1,2,,1,1,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120051,3,1,3,,21,1,2,,,,7,,,,,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120051,4,1,3,,15,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120051,5,2,3,,12,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120051,6,2,2,,28,1,2,,,,1,2,,1,1,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120051,7,2,3,,10,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120051,8,1,3,,7,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120051,9,1,3,,5,1,1,28,4,2011,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120051,10,1,3,,3,1,1,20,4,2013,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120051,11,2,3,,17,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120052,1,1,1,,51,1,2,,,,1,2,,1,2,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120052,2,2,2,,43,1,2,,,,1,2,,1,1,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120052,3,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,"OKENE",2217,"KOGI",22,,,,,,,,,,,,,
5,12,1216,2,618,120052,4,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,"OKENE",2217,"KOGI",22,,,,,,,,,,,,,
5,12,1216,2,618,120052,5,2,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,"OKENE",2217,"KOGI",22,,,,,,,,,,,,,
5,12,1216,2,618,120052,6,2,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,"OKENE",2217,"KOGI",22,,,,,,,,,,,,,
5,12,1216,2,618,120052,7,2,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,"OKENE",2217,"KOGI",22,,,,,,,,,,,,,
5,12,1216,2,618,120052,8,1,3,,3,1,1,17,2,2012,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120053,1,1,1,,50,1,2,,,,1,2,,1,2,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120053,2,2,2,,41,1,2,,,,1,2,,1,1,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120053,3,1,3,,24,1,2,,,,7,,,,,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120053,4,2,3,,20,1,2,,,,7,,,,,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120053,5,1,3,,15,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120053,6,2,3,,12,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120053,7,1,3,,8,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120053,8,1,3,,15,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120053,9,1,3,,5,1,1,20,3,2011,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120054,1,1,1,,40,1,2,,,,1,2,,1,2,10,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120054,2,2,2,,35,1,2,,,,1,2,,1,1,10,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120055,1,1,1,,60,1,2,,,,1,2,,1,2,10,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120055,2,2,2,,40,1,2,,,,1,2,,1,1,10,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120055,3,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,1,"EGOR",1202,"EDO",12,,,,,,,,,,,,,
5,12,1216,2,618,120055,4,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,1,"EGOR",1202,"EDO",12,,,,,,,,,,,,,
5,12,1216,2,618,120055,5,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,1,"EGOR",1202,"EDO",12,,,,,,,,,,,,,
5,12,1216,2,618,120055,6,2,3,,2,1,1,16,4,2013,7,,,,,10,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120056,1,1,1,,70,1,2,,,,2,1,2,1,2,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120056,2,2,2,,45,1,2,,,,2,2,,1,1,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120056,3,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,1,"OKENE",2217,"KOGI",22,,,,,,,,,,,,,
5,12,1216,2,618,120056,4,1,3,,21,1,2,,,,7,,,,,11,"IGBIRA",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120056,5,1,3,,18,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120056,6,1,3,,16,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120056,7,1,3,,15,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120056,8,2,2,,40,1,2,,,,2,2,,1,1,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120056,9,1,3,,18,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120056,10,1,3,,12,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120056,11,1,3,,10,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120056,12,2,3,,6,1,1,99,99,2009,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120057,1,1,1,,66,1,2,,,,1,2,,1,2,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120057,2,2,2,,45,1,2,,,,1,2,,1,1,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120057,3,1,3,,23,1,2,,,,7,,,,,11,"IGBIRA",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120057,4,1,3,,21,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120057,5,2,3,,19,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120057,6,2,3,,11,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120058,1,1,1,,65,1,2,,,,2,1,2,1,2,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120058,2,2,2,,45,1,2,,,,2,2,,1,1,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120058,3,2,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,1,"OKENE",2217,"KOGI",22,,,,,,,,,,,,,
5,12,1216,2,618,120058,4,1,3,,16,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120058,5,1,3,,14,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120058,6,2,2,,34,1,2,,,,2,2,,1,1,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120059,1,1,1,,73,1,2,,,,2,1,3,1,2,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120059,2,2,2,,45,1,2,,,,2,2,,1,1,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120059,3,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,3,1,"OKENE",2217,"KOGI",22,,,,,,,,,,,,,
5,12,1216,2,618,120059,4,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,5,1,"KUJE AREA COUNCIL",3704,"FCT",37,,,,,,,,,,,,,
5,12,1216,2,618,120059,5,1,3,,16,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120059,6,1,3,,16,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120059,7,2,2,,39,1,2,,,,2,2,,1,1,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120059,8,2,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,5,1,"LOKOJA",2212,"KOGI",22,,,,,,,,,,,,,
5,12,1216,2,618,120059,9,2,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,5,1,"LOKOJA",2212,"KOGI",22,,,,,,,,,,,,,
5,12,1216,2,618,120059,10,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,3,1,"OKENE",2217,"KOGI",22,,,,,,,,,,,,,
5,12,1216,2,618,120059,11,1,3,,10,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,618,120059,12,2,2,,45,1,2,,,,2,2,,1,1,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,0,120060,1,1,1,,50,1,2,,,,2,1,3,1,2,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,0,120060,2,2,2,,45,1,2,,,,2,2,,1,1,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,0,120060,3,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,"LOKOJA",2212,"KOGI",22,,,,,,,,,,,,,
5,12,1216,2,0,120060,4,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,"LOKOJA",2212,"KOGI",22,,,,,,,,,,,,,
5,12,1216,2,0,120060,5,2,2,,41,1,2,,,,2,2,,1,1,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,0,120060,6,2,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,"LOKOJA",2212,"KOGI",22,,,,,,,,,,,,,
5,12,1216,2,0,120060,7,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,"LOKOJA",2212,"KOGI",22,,,,,,,,,,,,,
5,12,1216,2,0,120060,8,1,3,,6,1,1,9,8,2009,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,0,120060,9,2,2,,40,1,2,,,,2,2,,1,1,11,"IGBIRA",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,0,120060,10,1,3,,19,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1216,2,0,120060,11,1,3,,14,1,2,,,,7,,,,,11,"IGBIRA",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120061,1,1,1,,75,1,2,,,,2,1,2,1,2,11,"ESAN",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120061,2,2,2,,66,1,2,,,,2,2,,1,1,11,"ESAN",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120061,3,2,2,,60,1,2,,,,2,2,,1,1,11,"ESAN",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120061,4,2,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,"ENUGU EAST",1403,"ENUGU",14,,,,,,,,,,,,,
5,12,1210,2,462,120061,5,2,3,,19,1,2,,,,7,,,,,11,"ESAN\\",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120062,1,2,1,,65,1,2,,,,6,,,,,10,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120062,2,1,3,,30,1,2,,,,7,,,,,10,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120062,3,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,1,"ALIMOSHO",2403,"LAGOS",24,,,,,,,,,,,,,
5,12,1210,2,462,120062,4,2,6,,15,1,2,,,,7,,,,,10,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120062,5,2,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,4,1,"OREDO",1212,"EDO",12,,,,,,,,,,,,,
5,12,1210,2,462,120062,6,2,6,,8,1,2,,,,7,,,,,10,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120062,7,2,6,,5,1,1,27,4,2010,7,,,,,10,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120063,1,1,1,,60,1,2,,,,1,2,,1,2,11,"ESAN",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120063,2,2,2,,55,1,2,,,,1,2,,1,1,11,"ESAN",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120063,3,2,14,"other relation",13,1,2,,,,7,,,,,11,"ESAN",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120063,4,1,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,1,"OREPO",1212,"EDO",12,,,,,,,,,,,,,
5,12,1210,2,462,120063,5,1,3,,20,1,2,,,,7,,,,,11,"ESAN",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120063,6,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,"OREPO",1212,"EDO",12,,,,,,,,,,,,,
5,12,1210,2,462,120063,7,1,7,,16,1,1,8,5,1999,7,,,,,11,"ESAN",2,,2,5,8,,1,2,,1,21,1,,2,,1,16,8,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120064,1,1,1,,51,1,2,,,,2,1,2,1,2,11,"ESAN",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120064,2,2,2,,44,1,2,,,,2,2,,1,1,11,"ESAN",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120064,3,2,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,1,"OREDO",1212,"EDO",12,,,,,,,,,,,,,
5,12,1210,2,462,120064,4,2,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,1,"OREDO",1212,"EDO",12,,,,,,,,,,,,,
5,12,1210,2,462,120064,5,2,3,,15,1,2,,,,7,,,,,11,"ESAN",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120064,6,1,3,,10,1,2,,,,7,,,,,11,"ESAN",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120064,7,2,2,,33,1,2,,,,2,2,,1,1,11,"ESAN",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120064,8,2,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,1,"OREDO",1212,"EDO",12,,,,,,,,,,,,,
5,12,1210,2,462,120064,9,1,3,,14,1,2,,,,7,,,,,11,"ESAN",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120064,10,2,3,,13,1,2,,,,7,,,,,11,"ESAN",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120064,11,1,3,,6,1,1,10,2,2009,7,,,,,11,"ESAN",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120064,12,1,3,,4,1,1,1,2,2012,7,,,,,11,"ESAN",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120065,1,1,1,,78,1,2,,,,4,,,,,10,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120065,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120065,3,2,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,1,"IKEJA",2411,"LAGOS",24,,,,,,,,,,,,,
5,12,1210,2,462,120065,4,2,3,,25,1,2,,,,7,,,,,10,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120066,1,1,1,,60,1,2,,,,1,2,,1,2,10,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120066,2,2,2,,49,1,2,,,,1,2,,1,1,10,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120066,3,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,"NYSC",1,1,"ISU",1610,"IMO",16,,,,,,,,,,,,,
5,12,1210,2,462,120066,4,1,3,,27,1,2,,,,7,,,,,10,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120066,5,1,3,,17,1,2,,,,7,,,,,10,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120066,6,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,"UVWIE",1022,"DELTA",10,,,,,,,,,,,,,
5,12,1210,2,462,120066,7,2,3,,10,1,2,,,,7,,,,,10,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120067,1,1,1,,44,1,2,,,,6,,,,,10,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120068,1,1,1,,69,1,2,,,,2,1,2,1,2,10,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120068,2,2,2,,55,1,2,,,,2,2,,1,1,10,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120068,3,2,2,,52,1,2,,,,2,2,,1,1,10,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120068,4,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,5,1,"EPE",2407,"LAGOS",24,,,,,,,,,,,,,
5,12,1210,2,462,120068,5,1,8,,16,1,2,,,,7,,,,,10,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120068,6,1,6,,12,1,1,5,8,2004,7,,,,,10,,2,,2,6,9,,1,2,,1,26,3,,2,,1,16,8,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120069,1,1,1,,58,1,2,,,,2,1,2,1,2,11,"ESAN",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120069,2,2,2,,53,1,2,,,,1,2,,1,1,11,"ESAN",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120069,3,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,2,,,,,4,13,2,,3,,,,,1,,2,
5,12,1210,2,462,120069,4,1,3,,18,1,2,,,,7,,,,,11,"ESAN",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120069,5,2,2,,49,1,2,,,,1,2,,1,1,11,"ESAN",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120069,6,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,1,"ANIOCHA SOUTH",1002,"DELTA",10,,,,,,,,,,,,,
5,12,1210,2,462,120069,7,2,3,,18,1,2,,,,7,,,,,11,"ESAN",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120069,8,2,3,,16,1,2,,,,7,,,,,11,"ESAN",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120069,9,1,3,,10,1,2,,,,7,,,,,11,"ESAN",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120069,10,2,3,,7,1,2,,,,7,,,,,11,"ESAN",2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120070,1,1,1,,93,1,2,,,,1,2,,1,2,11,"ESAN",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120070,2,2,2,,77,1,2,,,,1,2,,1,1,11,"ESAN",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1210,2,462,120070,3,1,3,,25,1,2,,,,7,,,,,11,"ESAN",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,1204,2,736,120071,1,2,14,"FORMER HEAD (DEAD)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,
5,12,1204,2,736,120071,2,2,1,,55,1,2,,,,6,,,,,11,"ESAN",1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
