"zone","state","lga","sector","ea","hhid","death_num","s15bq3","s15bq4","s15bq5a","s15bq5b","s15bq5c","s15bq6","s15bq6b"
4,4,421,1,800,40172,1,2,39,24,11,13,1,
4,4,421,1,0,40173,1,2,76,17,5,13,1,
4,4,411,1,1486,40182,1,1,70,19,8,13,1,
4,4,401,2,2106,40191,1,1,32,20,12,14,1,
4,4,401,2,2106,40195,1,2,82,17,12,15,1,
4,4,403,2,836,40216,1,1,10,12,9,14,1,
2,5,506,2,830,50005,1,1,2,20,6,13,1,
2,5,502,1,2194,50016,1,1,12,9,10,13,1,
2,5,502,1,2194,50016,2,2,7,20,11,13,1,
2,5,502,1,2194,50018,1,1,60,23,4,12,1,
2,5,515,2,18,50029,1,2,9,15,6,14,1,
2,5,515,2,18,50029,2,2,40,20,3,13,1,
2,5,502,2,3878,50036,1,1,21,21,4,15,1,
2,5,502,2,0,50037,1,1,45,10,3,16,1,
2,5,502,2,3878,50038,1,2,23,27,1,16,1,
2,5,502,2,3878,50039,1,1,10,10,5,13,1,
2,5,504,2,708,50041,1,1,68,20,10,13,1,
2,5,504,2,708,50043,1,1,56,10,9,15,1,
2,5,504,2,708,50047,1,2,9,2,9,15,1,
2,5,504,2,708,50048,1,2,3,10,3,15,1,
2,5,504,2,708,50048,2,1,6,20,3,14,1,
2,5,504,2,708,50049,1,1,5,16,9,14,1,
2,5,513,2,348,50054,1,1,2,20,8,14,1,
2,5,513,2,348,50056,1,1,18,15,10,15,1,
2,5,513,2,348,50056,2,1,8,2,6,14,1,
2,5,513,2,348,50058,1,1,3,5,7,13,1,
2,5,514,2,710,50062,1,2,48,99,12,14,1,
2,5,514,2,710,50065,1,1,65,15,10,15,1,
2,5,501,2,60,50071,1,2,5,11,3,14,1,
2,5,501,2,60,50072,1,1,33,20,10,15,1,
2,5,501,2,60,50074,1,1,3,99,99,13,1,
2,5,501,2,60,50077,1,1,16,18,10,15,1,
2,5,501,2,60,50079,1,2,8,5,1,15,1,
2,5,501,2,60,50080,1,2,99,99,6,14,1,
2,5,516,2,942,50082,1,1,19,16,12,15,1,
2,5,516,2,942,50083,1,1,38,19,2,16,1,
2,5,516,2,942,50084,1,2,8,17,2,13,1,
2,5,516,2,942,50084,2,2,5,10,8,14,1,
2,5,516,2,942,50086,1,1,2,18,2,14,1,
2,5,516,2,942,50086,2,2,8,22,9,13,1,
2,5,516,2,942,50087,1,1,5,10,12,13,1,
2,5,516,2,942,50087,2,1,3,5,6,14,1,
2,5,516,2,942,50089,1,1,3,15,5,15,1,
2,5,516,2,942,50089,2,2,70,20,6,14,1,
2,5,516,2,942,50090,1,2,4,17,6,13,1,
2,5,508,2,984,50097,1,1,45,16,2,15,1,
2,5,508,2,984,50098,1,1,70,15,4,14,1,
2,5,514,1,2036,50101,1,2,65,99,7,14,1,
2,5,514,1,2036,50102,1,1,20,99,5,13,1,
2,5,514,1,2036,50107,1,1,63,99,10,14,1,
2,5,508,2,718,50113,1,1,6,22,6,13,1,
2,5,508,2,718,50114,1,1,3,99,99,13,1,
2,5,508,2,718,50114,2,2,3,99,99,14,1,
2,5,508,2,718,50114,3,2,4,99,99,14,1,
2,5,508,2,718,50115,1,1,32,99,9,15,1,
2,5,508,2,718,50115,2,1,67,99,99,15,1,
2,5,508,2,718,50120,1,1,5,5,7,15,1,
2,5,518,2,1588,50132,1,2,12,15,4,14,1,
2,5,518,2,1588,50132,2,1,10,9,1,13,1,
2,5,518,2,1588,50132,3,2,38,10,6,13,1,
2,5,518,2,1588,50133,1,1,3,99,99,15,1,
2,5,518,2,1588,50133,2,1,6,99,99,14,1,
2,5,518,2,1588,50133,3,2,2,99,99,14,1,
2,5,518,2,1588,50133,4,1,4,99,99,14,1,
2,5,518,2,1588,50134,1,2,47,4,8,15,5,
2,5,518,2,1588,50137,1,2,7,14,6,14,1,
2,5,518,2,1588,50138,1,2,70,21,11,13,1,
2,5,518,2,1588,50138,2,1,7,10,10,15,1,
2,5,510,2,1516,50145,1,1,1,10,5,14,1,
2,5,510,2,1516,50145,2,1,3,27,2,15,1,
2,5,510,2,1516,50147,1,1,2,18,6,15,1,
2,5,510,2,1516,50149,1,2,37,9,8,15,1,
2,5,518,2,1304,50151,1,1,70,99,99,14,1,
2,5,518,2,1304,50152,1,1,6,99,99,14,1,
2,5,518,2,1304,50153,1,2,9,11,2,16,1,
2,5,518,2,1304,50156,1,2,40,11,7,14,1,
2,5,520,2,1756,50165,1,1,48,99,12,14,1,
5,6,602,2,0,60006,1,2,77,23,11,15,1,
5,6,608,1,3978,60026,1,1,85,16,4,14,2,
5,6,601,2,640,60042,1,1,37,6,10,14,1,
5,6,601,2,640,60048,1,1,55,99,2,15,1,
5,6,605,2,162,60052,1,1,60,20,4,14,1,
5,6,608,1,0,60060,1,1,60,99,3,13,1,
1,7,707,2,560,70002,1,1,63,17,2,16,1,
1,7,708,2,754,70015,1,2,3,10,6,13,1,
1,7,722,2,234,70040,1,1,69,10,7,14,1,
1,7,722,2,892,70043,1,2,58,27,12,13,1,
1,7,710,2,2726,70059,1,1,50,1,9,14,6,"HEPATITIS"
1,7,711,2,2532,70062,1,1,75,21,10,14,1,
1,7,711,2,2532,70066,1,1,5,29,7,14,2,
1,7,717,2,1248,70097,1,2,26,12,11,15,5,
1,7,717,2,1248,70100,1,2,14,18,11,15,1,
1,7,718,2,1640,70123,1,1,54,11,5,14,1,
1,7,718,2,1640,70123,2,2,7,2,11,13,1,
1,7,718,2,1640,70125,1,2,16,8,11,15,1,
1,7,718,2,1640,70127,1,1,45,29,2,16,1,
1,7,718,2,1640,70129,1,2,32,18,11,15,1,
1,7,713,2,304,70158,1,1,80,18,4,11,1,
2,8,813,2,2094,80007,1,2,62,4,2,16,1,
2,8,821,1,1448,80012,1,2,41,21,5,13,1,
2,8,821,1,1448,80020,1,2,4,11,6,14,1,
2,8,821,1,1448,80020,2,2,26,8,8,14,1,
2,8,821,1,5062,80021,1,1,50,6,3,13,1,
2,8,821,1,5062,80022,1,2,24,28,2,14,1,
2,8,821,1,5062,80023,1,1,76,9,3,13,5,
2,8,821,1,5062,80026,1,2,80,99,11,15,1,
2,8,805,2,46,80097,1,2,4,12,4,14,1,
2,8,805,2,46,80097,2,1,4,6,4,14,1,
2,8,805,2,46,80098,1,2,22,11,11,15,1,
2,8,805,2,46,80098,2,2,40,6,6,13,1,
2,8,827,2,804,80103,1,1,4,9,10,15,1,
2,8,827,2,804,80106,1,2,55,14,1,14,1,
2,8,827,2,804,80106,2,1,75,9,12,15,1,
2,8,827,2,804,80110,1,1,53,3,6,14,1,
2,8,820,2,1030,80142,1,2,6,9,9,15,1,
2,8,820,2,1030,80145,1,1,1,99,99,15,1,
2,8,820,2,1030,80146,1,1,60,16,1,14,1,
2,8,820,2,1030,80149,1,1,3,8,9,15,1,
2,8,824,2,768,80151,1,1,12,99,9,15,1,
2,8,824,2,768,80152,1,1,32,99,99,15,6,"INSURGENCY"
2,8,824,2,768,80152,2,1,31,99,99,15,6,"INSURGENCY"
2,8,824,2,768,80155,1,2,19,12,10,15,1,
2,8,824,2,768,80158,1,2,70,9,3,15,1,
2,8,824,2,768,80159,1,1,10,99,9,15,1,
2,8,815,2,362,80201,1,1,7,99,6,14,1,
2,8,815,2,362,80210,1,1,45,8,5,12,1,
5,9,908,1,0,90006,1,1,64,26,7,14,1,
5,9,908,1,0,90008,1,2,38,16,1,15,1,
5,9,903,2,48,90015,1,2,10,15,7,15,1,
5,9,903,2,48,90020,1,2,20,3,10,14,1,
5,9,915,1,1390,90026,1,1,40,17,12,13,1,
5,9,917,1,1254,90031,1,1,27,17,10,13,2,
5,9,917,1,1254,90035,1,1,6,20,10,13,1,
5,9,901,2,398,90042,1,1,81,99,99,15,1,
5,9,907,2,1446,90063,1,2,70,5,7,14,1,
5,9,907,2,1446,90064,1,1,55,13,3,13,1,
5,9,907,2,1446,90068,1,1,67,13,9,14,1,
5,9,912,2,102,90071,1,2,4,11,8,14,1,
5,9,912,2,102,90073,1,2,76,8,9,15,1,
5,9,912,2,102,90079,1,1,7,17,7,14,1,
5,9,916,2,1068,90081,1,2,80,6,6,13,1,
5,9,916,2,1068,90084,1,2,54,13,12,13,1,
5,9,918,2,834,90092,1,2,29,15,11,14,1,
5,9,905,2,0,90109,1,2,0,9,2,16,1,
5,9,905,2,978,90110,1,1,52,21,12,15,1,
5,9,913,2,2266,90121,1,2,4,19,11,15,1,
5,10,1001,2,172,100014,1,2,20,26,10,13,1,
5,10,1008,2,1314,100036,1,1,86,12,9,15,1,
5,10,1008,2,1718,100041,1,1,41,17,8,15,1,
