"zone","state","lga","sector","ea","hhid","shock_cd","s15aq1","s15aq1b","s15aq2","s15aq3a","s15aq3b","s15aq3c","s15aq3d","s15aq3e","s15aq4a","s15aq4b","s15aq4c","s15aq5a","s15aq5b","s15aq5c","s15aq5d","s15aq6a","s15aq6b","s15aq6c"
2,2,221,2,18,20011,4,1,,1,,,,,,3,,,21,21,21,21,98,,
2,2,221,2,18,20011,5,1,,,,,,,1,,,,21,21,21,21,98,,
2,2,221,2,18,20011,9,1,,,,,1,,,1,,,21,21,21,21,98,,
2,2,221,2,18,20011,12,1,,,,1,,,,,,,21,21,21,21,98,,
2,2,221,2,18,20011,13,1,,,,,1,,,,,,21,21,21,21,98,,
2,2,221,2,18,20011,14,1,,,1,,,,,,,,,,,,,,
2,2,221,2,18,20011,16,1,,,,,,,,2,,,21,21,21,21,98,,
2,2,221,2,18,20011,17,1,,,1,,,,,,,,21,21,21,21,98,,
2,2,221,2,18,20011,18,1,,,1,1,1,,,,,,21,21,21,21,98,,
2,2,221,2,18,20011,20,1,,,,1,1,1,,,,,21,21,21,21,98,,
2,2,221,2,18,20015,17,1,,,,,,1,,1,,,14,,,,98,,
2,2,221,2,18,20019,13,1,,,,,,1,,1,,,21,,,,98,,
2,2,221,2,18,20020,8,1,,2,1,1,,,,1,,,1,7,8,5,,,
2,2,221,2,18,20020,9,1,,,1,,1,,,3,,,21,21,21,21,,,
2,2,221,2,18,20020,12,1,,,1,,,,,,,,1,7,5,8,,,
2,2,221,2,18,20020,13,1,,,,,1,,,,,,21,21,21,21,,,
2,2,221,2,18,20020,17,1,,,,,,,1,2,,,21,21,21,21,,,
2,2,221,2,18,20020,18,1,,,,1,1,,,,,,,,,,,,
2,2,201,2,60,20022,8,1,,1,1,,,,,,,,,,,,98,,
2,2,201,2,60,20022,10,1,,1,,,,,1,,,,,,,,98,,
2,2,201,2,60,20022,12,1,,1,,1,,,,,,,,,,,98,,
2,2,201,2,60,20022,13,1,,1,,,,1,,,,,,,,,98,,
2,2,201,2,60,20022,17,1,,1,,,,1,,,,,,,,,98,,
2,2,201,2,60,20022,18,1,,4,,1,1,1,1,,,,,,,,98,,
2,2,201,2,60,20022,20,1,,4,,1,1,1,1,,,,,,,,98,,
2,2,201,2,60,20023,3,1,,1,,,1,,,,,,1,8,3,7,98,,
2,2,201,2,60,20023,7,1,,2,1,1,,,,3,,,1,8,3,7,98,,
2,2,201,2,60,20023,9,1,,1,,1,,,,,,,8,7,3,21,98,,
2,2,201,2,60,20023,12,1,,1,1,,,,,,,,1,3,7,8,98,,
2,2,201,2,60,20023,13,1,,1,,,,1,,1,,,1,7,3,8,98,,
2,2,201,2,60,20023,17,1,,1,1,,,,,2,,,7,8,3,21,98,,
2,2,201,2,60,20023,18,1,,2,,1,1,,,,,,7,8,3,4,98,,
2,2,201,2,60,20023,20,1,,3,1,1,1,,,,,,1,8,3,7,98,,
2,2,201,2,60,20024,9,1,,1,,,,1,,,,,6,,,,98,,
2,2,201,2,60,20025,4,1,,1,,,,1,,1,,,21,,,,1,,
2,2,201,2,60,20025,16,1,,1,,,,1,,2,,,21,,,,1,,
2,2,201,2,60,20028,1,1,,1,,,,1,,1,,,1,3,8,,,,
2,2,216,2,200,20032,13,1,,1,,,,1,,2,1,,21,,,,98,,
2,2,216,2,200,20034,12,1,,,,,,,1,1,3,,1,3,8,14,98,,
2,2,216,2,200,20034,13,1,,,,,,1,,1,3,,1,3,8,14,98,,
2,2,216,2,200,20034,17,1,,,,,1,,1,,1,2,1,3,8,14,98,,
2,2,216,2,200,20034,20,1,,,,1,1,1,1,1,2,3,1,3,8,14,98,,
2,2,216,2,200,20035,2,1,,2,1,,1,,,1,,,21,,,,98,,
2,2,216,2,200,20038,14,1,,,1,,,1,,1,,,21,21,21,21,98,,
2,2,216,2,200,20038,20,1,,,,1,1,1,,2,,,21,21,21,21,98,,
2,2,216,2,200,20039,1,1,,1,,1,,,,1,,,21,21,21,21,1,,
2,2,216,2,200,20039,14,1,,1,,,,1,,2,,,21,21,21,21,1,,
2,2,216,2,200,20039,20,1,,2,,1,1,,,3,,,21,21,21,21,1,,
2,2,216,2,200,20040,13,1,,1,,,,1,,,,,21,,,,98,,
2,2,203,2,1224,20041,3,1,,4,1,1,1,1,,2,,,8,7,3,,9,8,
2,2,203,2,1224,20041,17,1,,2,,1,,1,,1,,,,,,,9,8,
2,2,203,2,1224,20042,1,1,,,,,1,,,,,,,,,,98,,
2,2,203,2,1224,20043,22,1,,,,,,1,,1,,,21,,,,1,2,
2,2,203,2,1224,20045,4,1,,,,,1,,,1,,,,,,,1,2,3
2,2,203,2,1224,20048,2,1,,,,,,1,,1,,,6,8,7,3,98,,
2,2,212,2,956,20053,17,1,,2,,1,,1,,1,,,21,,,,1,,
2,2,212,2,956,20055,12,1,,,1,1,,,,1,,,1,7,8,4,98,,
2,2,212,2,956,20055,13,1,,,,,1,,,3,,,1,9,8,4,98,,
2,2,212,2,956,20055,17,1,,,,,,,,,,,1,9,8,1,98,,
2,2,212,2,956,20055,18,1,,,,,1,1,,,,,1,9,8,1,98,,
