"zone","state","lga","sector","ea","hhid","indiv","s1q2","s1q3","s1q4","s1q5","s1q6_day","s1q6_month","s1q6_year","s1q7","s1q8","s1q9","s1q10a","s1q10b","s1q10c","s1q10d","s1q11","s1q12","s1q13","s1q14","s1q15","s1q16","s1q17","s1q18a","s1q18b","s1q18c","s1q19","s1q20","s1q21","s1q21b","s1q22","s1q22b","s1q23","s1q24","s1q25","s1q26","s1q27","s1q27b","s1q28","s1q29","s1q30","s1q31","s1q32","s1q32b","s1q33","s1q33b","s1q34","s1q35","s1q36a","s1q36b","s1q36c","s1q36d","s1q37","s1q38","s1q39","s1q39b","s1q40","s1q41","s1q42","s1q42b","s1q43","s1q43b","s1q44","s1q44b","s1q45","s1q46","s1q46b","trackingobs"
4,1,115,1,670,10008,5,2,3,12,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10008,6,1,3,10,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10008,7,2,3,8,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10009,1,1,1,35,2,,,,1,2,,,,,,1,2,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10009,2,2,2,25,2,,,,1,2,,,,,,1,1,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10009,3,2,3,0,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10009,4,2,9,18,1,99,99,1993,7,,,,,,,,,2,,,,,,,,,8,11,"SEEKING ADMISSION",1,,2,,1,42,13,,2,,1,43,11,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10010,1,1,1,59,2,,,,1,2,,,,,,1,2,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10010,2,2,2,54,2,,,,1,2,,,,,,1,1,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10010,3,1,3,18,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,115,1,670,10010,4,2,12,16,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10011,1,2,1,47,2,,,,6,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10011,2,2,3,23,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10011,3,1,3,19,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10011,4,1,3,18,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,104,2,1364,10011,5,1,3,16,2,,,,7,,,,,,,,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
