"zone","state","lga","sector","ea","hhid","lat_dd_mod","lon_dd_mod","qa_type","dist_road","dist_popcenter","dist_market","dist_borderpost","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","fsrad3_agpct","fsrad3_lcmaj","ssa_aez09","afmnslp_pct","srtm_nga","twi_nga","srtm_nga_5_15","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2010_tot","h2010_wetQ","h2010_wetQstart","eviarea_avg","evimax_avg","grn_avg","sen_avg","h2010_eviarea","h2010_evimax","h2010_grn","h2010_sen"
4,1,104,2,1364,10020,5.55555406781,7.611029751,1,14.6,16.5,57.6,543.8,17.2,264,250,2140,320,902,32,30,313,8.784041,137,14,4,3,2,1,1,1,1,1,1933,928,16,1670,689,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,106,2,880,10021,5.35086568605,7.40188916719,2,3.4,15.7,24.3,524.3,24.1,261,248,2227,339,951,16,40,314,1.623299,114,14,1,3,2,1,1,1,1,1,1895,885,16,1626,665,14,37.8,0.499,108,334,43,0.5105,100,339
4,1,106,2,880,10022,5.35086568605,7.40188916719,1,3.3,15.3,24.4,524,24.1,261,248,2219,338,949,8,40,313,1.832801,118,13,1,3,2,1,1,1,1,1,1894,884,16,1627,665,14,37.8,0.499,108,334,43,0.5105,100,339
4,1,106,2,880,10023,5.35086568605,7.40188916719,2,3.4,15.7,24.3,524.3,24.1,261,248,2227,339,951,16,40,314,1.623299,114,14,1,3,2,1,1,1,1,1,1895,885,16,1626,665,14,37.8,0.499,108,334,43,0.5105,100,339
4,1,106,2,880,10024,5.35086568605,7.40188916719,1,3.3,15.2,24.5,523.8,24.1,261,248,2219,338,949,6,40,313,1.832801,114,14,1,3,2,1,1,1,1,1,1894,884,16,1627,665,14,37.8,0.499,108,334,43,0.5105,100,339
4,1,106,2,880,10025,5.35086568605,7.40188916719,1,3.4,15.6,24.3,524.3,24.2,261,248,2227,339,951,8,40,314,1.623299,113,19,1,3,2,1,1,1,1,1,1895,884,16,1626,665,14,37.8,0.499,108,334,43,0.5105,100,339
4,1,106,2,880,10026,5.35086568605,7.40188916719,1,3.4,15.7,24.3,524.4,24.2,261,248,2227,339,951,18,40,314,1.623299,114,14,1,3,2,1,1,1,1,1,1895,885,16,1626,665,14,37.8,0.499,108,334,43,0.5105,100,339
4,1,106,2,880,10027,5.35086568605,7.40188916719,1,3.3,15.4,24.4,524,24.1,261,248,2225,339,952,8,40,314,1.780424,113,14,1,3,2,1,1,1,1,1,1894,884,16,1626,665,14,37.8,0.499,108,334,43,0.5105,100,339
4,1,106,2,880,10028,5.35086568605,7.40188916719,1,3.4,15.7,24.3,524.3,24.2,261,248,2227,339,951,18,40,314,1.623299,114,14,1,3,2,1,1,1,1,1,1895,885,16,1626,665,14,37.8,0.499,108,334,43,0.5105,100,339
4,1,106,2,880,10029,5.35086568605,7.40188916719,1,3.4,15.6,24.3,524.3,24.2,261,248,2227,339,951,8,40,314,1.623299,113,19,1,3,2,1,1,1,1,1,1895,884,16,1626,665,14,37.8,0.499,108,334,43,0.5105,100,339
4,1,106,2,880,10030,5.35086568605,7.40188916719,1,3.4,15.6,24.3,524.3,24.2,261,248,2227,339,951,8,40,314,1.623299,113,19,1,3,2,1,1,1,1,1,1895,884,16,1626,665,14,37.8,0.499,108,334,43,0.5105,100,339
4,1,111,1,1146,10031,5.14203254737,7.37471602851,2,2,3.6,2,526.6,46.2,264,251,2314,365,1006,10,110,314,4.016415,66,16,1,3,2,1,1,1,1,1,1934,867,17,1619,621,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,111,1,1146,10032,5.14203254737,7.37471602851,1,2,3.6,2,526.6,46.2,264,251,2314,365,1006,10,110,314,4.016415,66,16,1,3,2,1,1,1,1,1,1934,867,17,1619,621,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,111,1,1146,10033,5.14203254737,7.37471602851,1,2,3.5,1.9,526.6,46.3,264,251,2314,365,1006,10,110,314,6.659523,69,14,1,3,2,1,1,1,1,1,1934,867,17,1619,621,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,111,1,1146,10034,5.14203254737,7.37471602851,1,2,3.5,1.9,526.5,46.3,264,251,2314,365,1006,10,110,314,4.016415,69,14,1,3,2,1,1,1,1,1,1934,867,17,1619,621,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,111,1,1146,10035,5.14203254737,7.37471602851,2,1.9,3.4,1.9,526.6,46.4,264,251,2318,367,1009,10,110,314,1.151968,68,14,1,3,2,1,1,1,1,1,1934,867,17,1619,621,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,111,1,1146,10036,5.14203254737,7.37471602851,2,2,3.6,1.9,526.6,46.3,264,251,2314,365,1006,10,110,314,4.016415,69,14,1,3,2,1,1,1,1,1,1934,867,17,1619,621,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,111,1,1146,10037,5.14203254737,7.37471602851,1,2,3.5,1.9,526.6,46.3,264,251,2314,365,1006,10,110,314,4.016415,69,14,1,3,2,1,1,1,1,1,1934,867,17,1619,621,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,111,1,1146,10038,5.14203254737,7.37471602851,2,2,3.6,2,526.6,46.2,264,251,2314,365,1006,10,110,314,4.016415,66,16,1,3,2,1,1,1,1,1,1934,867,17,1619,621,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,111,1,1146,10039,5.14203254737,7.37471602851,2,2,3.6,1.9,526.6,46.3,264,251,2314,365,1006,10,110,314,4.016415,69,14,1,3,2,1,1,1,1,1,1934,867,17,1619,621,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,111,1,1146,10040,5.14203254737,7.37471602851,2,1.9,3.4,1.9,526.6,46.4,264,251,2318,367,1009,10,110,314,1.151968,68,14,1,3,2,1,1,1,1,1,1934,867,17,1619,621,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,102,1,536,10041,5.11421765924,7.3745962586,1,0,0.9,1.1,526.5,48.9,264,251,2333,370,1015,0,110,314,1.256703,65,14,1,3,2,1,1,1,1,1,1939,869,17,1613,617,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,102,1,536,10042,5.11421765924,7.3745962586,2,0,1,1,526.5,48.8,264,251,2333,370,1015,0,110,314,1.256703,65,14,1,3,2,1,1,1,1,1,1938,869,17,1613,617,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,102,1,536,10043,5.11421765924,7.3745962586,1,0,1,1,526.5,48.9,264,251,2333,370,1015,0,110,314,1.256703,65,14,1,3,2,1,1,1,1,1,1938,869,17,1613,617,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,102,1,536,10044,5.11421765924,7.3745962586,1,0.5,0.3,1.6,526.7,49.6,264,251,2339,371,1019,0,110,314,1.256703,64,15,1,3,2,1,1,1,1,1,1940,870,17,1611,616,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,102,1,536,10045,5.11421765924,7.3745962586,1,0,0.9,1.1,526.5,48.9,264,251,2333,370,1015,0,110,314,1.256703,65,14,1,3,2,1,1,1,1,1,1938,869,17,1613,617,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,102,1,536,10046,5.11421765924,7.3745962586,2,0,1,1,526.5,48.8,264,251,2333,370,1015,0,110,314,1.256703,65,14,1,3,2,1,1,1,1,1,1938,869,17,1613,617,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,102,1,536,10047,5.11421765924,7.3745962586,1,0,0.9,1.1,526.5,48.9,264,251,2333,370,1015,0,110,314,1.256703,65,14,1,3,2,1,1,1,1,1,1939,869,17,1613,617,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,102,1,536,10048,5.11421765924,7.3745962586,1,0,0.9,1.1,526.5,48.9,264,251,2330,369,1014,0,110,314,1.134513,63,16,1,3,2,1,1,1,1,1,1939,869,17,1613,617,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,102,1,536,10049,5.11421765924,7.3745962586,1,0,0.9,1,526.5,48.9,264,251,2333,370,1015,0,110,314,1.256703,65,14,1,3,2,1,1,1,1,1,1939,869,17,1613,617,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,102,1,536,10050,5.11421765924,7.3745962586,2,0,1,1,526.5,48.8,264,251,2333,370,1015,0,110,314,1.256703,65,14,1,3,2,1,1,1,1,1,1938,869,17,1613,617,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,102,1,1690,10051,5.09037333332,7.36620770377,2,1.1,1.7,2.9,528,51,264,251,2357,374,1027,1,110,314,0.9425057,56,18,1,3,2,1,1,1,1,1,1943,873,17,1608,616,11,37.8,0.499,108,334,43,0.5105,100,339
