"zone","state","lga","sector","ea","hhid","s15bq1","tracked_obs"
4,1,110,2,76,10081,2,0
4,1,110,2,76,10082,2,0
4,1,110,1,0,10083,2,1
4,1,110,2,76,10084,2,0
4,1,110,2,76,10085,2,0
4,1,110,2,76,10086,1,0
4,1,110,2,76,10087,2,0
4,1,110,2,76,10088,2,0
4,1,110,2,76,10089,2,0
4,1,110,2,76,10090,,0
4,1,105,2,638,10091,2,0
4,1,105,2,638,10092,2,0
4,1,105,2,638,10094,2,0
4,1,105,2,638,10096,2,0
4,1,105,2,638,10097,2,0
4,1,105,2,638,10098,2,0
4,1,105,2,638,10099,2,0
4,1,105,2,638,10100,2,0
4,1,108,2,904,10101,1,0
4,1,108,2,904,10102,2,0
4,1,108,2,904,10103,2,0
4,1,108,2,904,10104,2,0
4,1,108,2,904,10105,2,0
4,1,108,2,904,10106,2,0
4,1,108,2,904,10107,1,0
4,1,108,2,904,10108,2,0
4,1,108,2,904,10109,2,0
4,1,108,2,904,10110,2,0
2,2,209,2,1040,20001,2,0
2,2,209,2,1040,20002,2,0
2,2,209,2,1040,20004,2,0
2,2,209,2,1040,20005,2,0
2,2,209,2,1040,20006,1,0
2,2,209,2,1040,20007,2,0
2,2,209,2,1040,20008,1,0
2,2,209,2,1040,20009,2,0
2,2,209,2,1040,20010,2,0
2,2,221,2,18,20011,2,0
2,2,221,2,18,20012,2,0
2,2,221,2,18,20013,2,0
2,2,221,2,18,20014,2,0
2,2,221,2,18,20015,2,0
2,2,221,2,18,20016,2,0
2,2,221,2,18,20017,2,0
2,2,221,2,18,20018,1,0
2,2,221,2,18,20019,2,0
2,2,221,2,18,20020,2,0
2,2,201,2,60,20021,2,0
2,2,201,2,60,20022,2,0
2,2,201,2,60,20023,2,0
2,2,201,2,60,20024,2,0
2,2,201,2,60,20025,2,0
2,2,201,2,60,20026,2,0
2,2,201,2,60,20027,2,0
2,2,201,2,60,20028,2,0
2,2,201,2,60,20029,2,0
2,2,201,2,60,20030,2,0
2,2,216,2,200,20031,2,0
2,2,216,2,200,20032,2,0
2,2,216,2,200,20033,2,0
2,2,216,2,200,20034,1,0
2,2,216,2,200,20035,2,0
2,2,216,2,200,20036,2,0
2,2,216,2,200,20037,2,0
2,2,216,2,200,20038,2,0
2,2,216,2,200,20039,2,0
2,2,216,2,200,20040,2,0
2,2,203,2,1224,20041,2,0
2,2,203,2,1224,20042,2,0
2,2,203,2,1224,20043,2,0
2,2,203,2,1224,20044,2,0
2,2,203,2,1224,20045,1,0
2,2,203,2,1224,20046,2,0
2,2,203,2,1224,20047,2,0
2,2,203,2,1224,20048,2,0
2,2,203,2,1224,20049,2,0
2,2,203,2,1224,20050,2,0
2,2,212,2,956,20051,2,0
2,2,212,2,956,20052,2,0
2,2,212,2,956,20053,2,0
2,2,212,2,956,20054,2,0
2,2,212,2,956,20055,2,0
2,2,212,2,956,20056,2,0
2,2,212,2,956,20057,2,0
2,2,212,2,956,20058,2,0
2,2,212,2,956,20059,2,0
2,2,212,2,956,20060,2,0
2,2,210,2,1300,20061,2,0
2,2,210,2,1300,20062,2,0
2,2,210,2,1300,20063,2,0
2,2,210,2,1300,20064,2,0
2,2,210,2,1300,20065,2,0
2,2,210,2,1300,20066,2,0
2,2,210,2,1300,20067,2,0
2,2,210,2,1300,20068,2,0
2,2,210,2,1300,20069,2,0
2,2,210,2,1300,20070,2,0
2,2,214,1,898,20071,2,0
2,2,214,1,898,20072,2,0
2,2,214,1,898,20073,2,0
2,2,214,1,898,20074,2,0
2,2,214,1,898,20075,2,0
2,2,214,1,898,20076,2,0
2,2,214,1,898,20077,2,0
2,2,214,1,898,20078,2,0
